n	signature	member	kind	quality	statement	other_statements	recorded_at	n_places	origins	verified_labels	unverified_label_guesses	pinned	deviations_txt	sources	from_notes_tsv_row
1	ARRAY / ARRAY_SLICE / ARRAY2 / MONO_*	copy, copyVec; Array.copyVec; ArraySlice.copyVec; Array.copy, Array.copyVec	Reading	note	When Subscript is raised nothing has been copied (the page does not say whether dst may be partly modified). All hosts agree.	[testsA] The page does not say what happens to dst when Subscript is raised; the test takes it that nothing is copied. || [testsA] As for copy, the test takes it that nothing is copied when Subscript is raised. || [lib] Subscript is raised before anything is copied, tested without an overflowing sum; copying an array onto itself needs no particular order.	docs/basis-compat.md:347; lib/basis/array.sml:55-57; tests/basis/array.sml:159,429,429-430; tests/basis/array2.sml:291; tests/basis/arrayslice.sml:252,304; tests/basis/fn/mono_array2_fn.sml:346; tests/basis/fn/mono_array_fn.sml:148; tests/basis/fn/mono_array_slice_fn.sml:227	10	docs,lib-body,tests	Array.copy/Subscript-changes-nothing, Array.copyVec/Subscript-changes-nothing, ArraySlice.copyVec/Subscript-changes-nothing	Array.copyVec/, ArraySlice.copy/, Array2.copy/	yes	no	lib,mine,testsA	13
2	ARRAY / VECTOR / MONO_*	tabulate; Array.tabulate; Vector.tabulate	Reading	note	Size is raised before f is applied (n < 0 or n > maxLen), against 'equivalent to fromList (List.tabulate (n, f))'.	[lib] Size (n<0 or n>maxLen) is raised before f is applied to anything. || [lib] Size (n<0 or n>maxLen) is raised before f is applied.	docs/basis-compat.md:346; lib/basis/array.sml:14; lib/basis/vector.sml:11; tests/basis/array.sml:453-458; tests/basis/fn/mono_array_fn.sml:424; tests/basis/fn/mono_vector_fn.sml:300; tests/basis/vector.sml:291-295	7	docs,lib-body,tests	Array.tabulate/Size-before-f, Array.tabulate/Size-above-maxLen	Vector.tabulate/	yes	no (smlnj HOST-BUG:43)	lib,mine	12
3	ARRAY2	Array2 (region arguments)	Reading	note	An invalid region raises Subscript; validity is decided without sums that could overflow.		lib/basis/array2.sml:62-63	1	lib-body			no		lib	
4	ARRAY2	Array2.appi	Reading	note	"""0 <= #row reg <= nRows"" allows a region to start at the end of the array; such regions and zero-size regions are valid and traverse nothing."		tests/basis/array2.sml:602-605	1	tests	Array2.appi/nothing-RowMajor-<name>, Array2.appi/nothing-ColMajor-<name>, Array2.foldi/nothing-RowMajor-<name>	Array2.foldi/nothing-ColMajor-<name> (names: rows-at-the-end, cols-at-the-end, zero-nrows, zero-ncols, zero-nrows-ncols-at-the-end)	yes		testsA	
5	ARRAY2	Array2.copy	Reading	note	"""Must correctly handle"" overlapping regions of one array is read as: every element arrives as it was before the copy, whichever direction it moves."	[lib] When dst is the base of src and regions overlap, rows and elements are copied in the direction that reads each element before overwriting it.	lib/basis/array2.sml:98-100; tests/basis/array2.sml:300-303	2	lib-body,tests	Array2.copy/overlap-down-right, Array2.copy/overlap-up-left, Array2.copy/overlap-down-left, Array2.copy/overlap-up-right, Array2.copy/overlap-right, Array2.copy/overlap-left, Array2.copy/overlap-down, Array2.copy/overlap-up, Array2.copy/overlap-onto-itself, Array2.copy/same-array-apart, Array2.copy/overlap-Subscript		yes		lib,testsA	
6	ARRAY2	Array2.copy	Reading	note	The derived destination region of a source region without elements can still be invalid, and copy then raises Subscript.		tests/basis/array2.sml:636	1	tests	Array2.copy/Subscript-dst-nothing-row-beyond, Array2.copy/Subscript-dst-nothing-cols-too-far		yes		testsA	
7	ARRAY2	Array2.tabulate	Reading	note	"""Initialized in traversal order"": f(0,0) is called first in either order and its result is the array's initial fill."		lib/basis/array2.sml:42-43	1	lib-body			no		lib	
8	ARRAY2 / MONO_ARRAY2	appi, foldi, modifyi (invalid region)	Reading	note	f is applied to no element before Subscript is raised for an invalid region (page does not say).		tests/basis/array2.sml:439-441; tests/basis/fn/mono_array2_fn.sml:503	2	tests	Array2.appi/Subscript-before-f, Array2.foldi/Subscript-before-f, Array2.modifyi/Subscript-changes-nothing		yes	no -- NOT in basis-compat	mine	14
9	ARRAY_SLICE	ArraySlice.copy	Reading	note	"""Must correctly handle"" an overlapping copy within one array is read as: elements arrive as they were before the copy, moving left or right."	[lib] Overlapping copy within one base array goes upwards or downwards so every element is read before being overwritten.	lib/basis/arrayslice.sml:39-41; tests/basis/arrayslice.sml:257-260	2	lib-body,tests	ArraySlice.copy/overlap-to-the-right, ArraySlice.copy/overlap-one-to-the-right, ArraySlice.copy/overlap-onto-itself, ArraySlice.copy/overlap-one-to-the-left, ArraySlice.copy/overlap-to-the-left, ArraySlice.copy/overlap-to-the-end, ArraySlice.copy/overlap-Subscript		yes		lib,testsA	
10	ARRAY_SLICE	ArraySlice.subslice	Reading	borderline	The Subscript bounds of subslice are those of the given slice, not those of its underlying array.		tests/basis/arrayslice.sml:116-119	1	tests	ArraySlice.subslice/NONE-Subscript-beyond, ArraySlice.subslice/SOME-Subscript-one-too-many, ArraySlice.subslice/SOME-Subscript-whole-and-one, ArraySlice.subslice/SOME-Subscript-zero-size-beyond, ArraySlice.subslice/every-argument		yes		testsA	
11	SUBSTRING / slices / STRING / ARRAY2 / ARRAY_SLICE / VECTOR_SLICE	extract, substring, slice, subslice, sub, copy; VectorSlice.slice, subslice; ArraySlice.slice, subslice; Substring.substring, extract	Reading	note	Bounds are checked so that Subscript, never Overflow, is raised even when i + j does not exist as an int (SUBSTRING says so; taken for all sequences).	[lib] Bounds checked without a sum that could overflow. || [lib] Bounds checked without an overflowing sum, so extreme indices raise Subscript rather than Overflow. || [lib] Bounds tests are written as n > size s - i so they cannot overflow.	lib/basis/arrayslice.sml:12; lib/basis/substring.sml:19-20; lib/basis/vectorslice.sml:12; tests/basis/array2.sml:645; tests/basis/arrayslice.sml:565; tests/basis/fn/mono_*_slice_fn.sml; tests/basis/string.sml:82-84; tests/basis/substring.sml:327-329; tests/basis/vectorslice.sml:409	9	lib-body,tests	*/…Subscript-not-Overflow-*		yes	no (polyml HOST-BUG:191-192,529)	lib,mine	45
12	BIN_IO	BinIO.StreamIO.setBufferMode	Reading	note	LINE_BUF on binary streams acts as BLOCK_BUF because no byte counts as a newline.		lib/basis/binio.sml:4-5	1	lib-body			no		lib	
13	BIN_IO	BinIO.endOfStream	Reading	note	endOfStream does not consume the end-of-stream it finds: it stays true until a read consumes it, and that read returns the empty vector.		tests/basis/binio.sml:689-690	1	tests	BinIO.endOfStream/file-grows-after-end-of-stream		yes		testsA	
14	BIN_IO	BinIO.input1	Reading	note	input1 returning NONE positions the stream after the end-of-stream, so the next input1 delivers bytes appended since.		tests/basis/binio.sml:674-676	1	tests	BinIO.input1/file-grows-after-end-of-stream		yes		testsA	
